Name,Link,Tags,Actors,Director,Decade,Genre,Similar Stuff
11.22.63 · S1,https://www.youtube.com/show/SCMMFSoKDCZSjo8wFByJsNKw?season=1&sbp=CgEx,"time travel, historical drama, JFK assassination, Stephen King adaptation, mystery","James Franco, Sarah Gadon, George MacKay, Chris Cooper, Cherry Jones","Kevin Macdonald, James Franco, James Strong, John David Coles, Fred Toye",2010,Science-fiction,"Quantum Leap, Timeless, The Man in the High Castle, Fringe, Continuum"
11:14,https://www.youtube.com/watch?v=YPOVqv9kQOw,"crime, thriller, dark comedy, interconnected stories, mystery","Henry Thomas, Blake Heron, Barbara Hershey, Clark Gregg, Hilary Swank",Greg Marcks,2000,Thriller,"Go, Pulp Fiction, Magnolia, Crash, The Air I Breathe, Amores Perros"
12 Angry Men,https://www.youtube.com/watch?v=J61XJhYiUpg,"courtroom drama, jury deliberation, moral conflict, black-and-white, classic film","Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler, E.G. Marshall",Sidney Lumet,1950,Drama,"Anatomy of a Murder, The Verdict, A Few Good Men, Witness for the Prosecution, Judgment at Nuremberg"
"20,000 Leagues Under the Sea",https://www.youtube.com/watch?v=hXVMr5HYt0k,"adventure, science fiction, submarine, Jules Verne, ocean exploration","Kirk Douglas, James Mason, Paul Lukas, Peter Lorre, Robert J. Wilke",Richard Fleischer,1950,Adventure,"Journey to the Center of the Earth, Mysterious Island, The Time Machine, Atlantis: The Lost Empire, Treasure Island"
A Bit of Fry and Laurie: Complete Collection,https://www.youtube.com/show/SCj3nSTqrnMKN5_D0IB8NUqw?season=0b1&sbp=CgMwYjE%253D,"British comedy, sketch show, satire, witty humor, Stephen Fry and Hugh Laurie","Stephen Fry, Hugh Laurie","Roger Ordish, Bob Spiers, Kevin Bishop, Nick Symons",1980,Comedy,"Monty Python's Flying Circus, That Mitchell and Webb Look, The Kids in the Hall, Fawlty Towers, Blackadder"
A Few Good Men,https://www.youtube.com/watch?v=E7g-Alz2krU&t=7613s,"courtroom drama, military, legal thriller, ethical dilemma, intense dialogue","Tom Cruise, Jack Nicholson, Demi Moore, Kevin Bacon, Kiefer Sutherland",Rob Reiner,1990,Drama,"The Firm, The Rainmaker, Primal Fear, The Lincoln Lawyer, Runaway Jury, The Pelican Brief, Michael Clayton"
A Fistful Of Dollars,https://www.youtube.com/watch?v=OIr_aYXqiUE,"spaghetti western, Clint Eastwood, bounty hunter, 1960s, Sergio Leone","Clint Eastwood, Marianne Koch, Gian Maria Volontè, Wolfgang Lukschy, Sieghardt Rupp",Sergio Leone,1960,Western,"For a Few Dollars More, The Good, the Bad and the Ugly, High Plains Drifter, Unforgiven, Pale Rider"
A Mighty Heart,https://www.youtube.com/watch?v=OREV6ZQaM3M,"biographical, drama, thriller, terrorism, true story","Angelina Jolie, Dan Futterman, Irrfan Khan, Archie Panjabi, Will Patton",Michael Winterbottom,2000,Drama,"Zero Dark Thirty, Syriana, The Constant Gardener, Argo, Body of Lies, Green Zone, Rendition"
A Perfect Murder,https://www.youtube.com/watch?v=VGZvftZFuH8,"thriller, crime, mystery, remake, suspense","Michael Douglas, Gwyneth Paltrow, Viggo Mortensen, David Suchet, Sarita Choudhury",Andrew Davis,1990,Thriller,"Dial M for Murder, Basic Instinct, Fatal Attraction, Body Heat, The Last Seduction"
A Quiet Place,https://www.youtube.com/watch?v=Cu49D7LW65o,"horror, thriller, survival, silence, monsters","Emily Blunt, John Krasinski, Millicent Simmonds, Noah Jupe, Cade Woodward",John Krasinski,2010,Horror,"Bird Box, The Silence, Hush, Don't Breathe, 10 Cloverfield Lane"
A most violent year,https://www.youtube.com/watch?v=GgdpvqzsjmE,"crime, drama, thriller, 1980s, corruption","Oscar Isaac, Jessica Chastain, David Oyelowo, Alessandro Nivola, Albert Brooks",J.C. Chandor,2010,Drama,"The Godfather, Scarface, The Departed, American Gangster, Heat, Carlito's Way, Goodfellas, The Town, Eastern Promises, Road to Perdition"
Aatish,https://www.youtube.com/watch?v=hHhiIaYWy8g,"Action, Crime, Drama, Family, Revenge","Sanjay Dutt, Aditya Pancholi, Raveena Tandon, Karisma Kapoor, Atul Agnihotri",Sanjay Gupta,1990,Action,"Baazigar, Satya, Vaastav: The Reality, Shootout at Lokhandwala, Company"
Absolute Power,https://www.youtube.com/watch?v=1LjSeqSsOaw,"political thriller, crime, corruption, suspense, mystery","Clint Eastwood, Gene Hackman, Ed Harris, Laura Linney, Scott Glenn",Clint Eastwood,1990,Political,"Clear and Present Danger, The Pelican Brief, In the Line of Fire, The Firm, A Few Good Men"
Ace Ventura: Pet Detective,https://www.youtube.com/watch?v=gy7cTwW-6yA,"comedy, detective, animals, slapstick, adventure","Jim Carrey, Courteney Cox, Sean Young, Tone Loc, Dan Marino",Tom Shadyac,1990,Comedy,"The Mask, Dumb and Dumber, Liar Liar, Bruce Almighty, The Cable Guy"
Ace Ventura: When Nature Calls,https://www.youtube.com/watch?v=pya7fwT_4iA&t=3114s,"comedy, adventure, sequel, detective, animals","Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi, Bob Gunton",Steve Oedekerk,1990,Comedy,"Ace Ventura: Pet Detective, The Mask, Dumb and Dumber, Liar Liar, Bruce Almighty"
Agatha Christie's Marple · S3,https://www.youtube.com/show/SCWxChvA2SlJfHHVUanT9cvA?season=3&sbp=CgEz,Loading...,"Geraldine McEwan, Julia McKenzie, Stephen Churchett, Isabella Parriss, Adam Smethurst","Nicolas Winding Refn, Moira Armstrong, Andy Wilson, Tom Shankland, Nicolas Winding Refn",2000,Mystery,"Miss Fisher's Murder Mysteries, Father Brown, Poirot, Grantchester, Midsomer Murders"
Air Force One,https://www.youtube.com/watch?v=GFoDLmqS0nM,"action, thriller, political, hostage, president","Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson, Liesel Matthews",Wolfgang Petersen,1990,Action,"Executive Decision, White House Down, Olympus Has Fallen, In the Line of Fire, The Sum of All Fears, Clear and Present Danger, Patriot Games"
Airplane II: The Sequel,https://www.youtube.com/watch?v=MyQzFni5M6A,Loading...,"Robert Hays, Julie Hagerty, Lloyd Bridges, Chad Everett, William Shatner",Ken Finkleman,1980,Comedy,"Airplane!, The Naked Gun: From the Files of Police Squad!, Hot Shots!, Top Secret!, Scary Movie"
Airplane!,https://www.youtube.com/watch?v=ksljlXvKtic,Loading...,"Robert Hays, Julie Hagerty, Leslie Nielsen, Kareem Abdul-Jabbar, Lloyd Bridges","Jim Abrahams, David Zucker, Jerry Zucker",1980,Comedy,"The Naked Gun, Top Secret!, Hot Shots!, Spaceballs, Blazing Saddles, Scary Movie, Young Frankenstein"
Ajami,https://www.youtube.com/watch?v=aFPQ2J2x_zg,Loading...,"Shahir Kabaha, Ibrahim Frege, Fouad Habash, Youssef Sahwani, Ranin Karim","Scandar Copti, Yaron Shani",2000,Drama,"City of God, Gomorrah, Incendies, Amores Perros, Crash"
Alice in Wonderland,https://www.youtube.com/watch?v=ilqTywuUon8,"fantasy, adventure, surreal, family-friendly, adaptation","Mia Wasikowska, Johnny Depp, Helena Bonham Carter, Anne Hathaway, Crispin Glover",Tim Burton,1950,Fantasy,"The Chronicles of Narnia, Peter Pan, Labyrinth, Pan's Labyrinth, The Wizard of Oz, Coraline, Spirited Away, The Secret Garden, Bridge to Terabithia, MirrorMask"
Alien Covenant,https://youtu.be/N2u4u4KWOOU?si=tUoVq9fY-mb5jDvX,"science fiction, horror, space exploration, alien encounter, survival","Michael Fassbender, Katherine Waterston, Billy Crudup, Danny McBride, Demián Bichir",Ridley Scott,2010,Sci-fi,"Prometheus, Alien, Aliens, Alien 3, Alien: Resurrection, Alien vs. Predator, Alien vs. Predator: Requiem, The Thing, Event Horizon, Life"
Alien: The Director's Cut,https://www.youtube.com/watch?v=j6-Lh14PO8E,Loading...,"Sigourney Weaver, Tom Skerritt, Veronica Cartwright, Harry Dean Stanton, John Hurt",Ridley Scott,1970,Sci-fi,"Prometheus, Aliens, Alien 3, Alien: Resurrection, Alien: Covenant, The Thing, Event Horizon, Predator"
Aliens,https://youtu.be/C-poAOqU624?feature=shared,"sci-fi, horror, extraterrestrial, suspense, action","Sigourney Weaver, Michael Biehn, Bill Paxton, Paul Reiser, Lance Henriksen",James Cameron,1980,Sci-Fi,"Predator, The Thing, Terminator 2: Judgment Day, Starship Troopers, Event Horizon"
All The President's Men,https://www.youtube.com/watch?v=P65lZ33GwHo,,"Robert Redford, Dustin Hoffman, Jack Warden, Martin Balsam, Hal Holbrook",Alan J. Pakula,1970,Political,"Spotlight, The Post, Zodiac, Frost/Nixon, State of Play, The Insider, Good Night, and Good Luck, Shattered Glass"
All the Money in the World,https://www.youtube.com/watch?v=WQ42F4XJth0,"crime, thriller, historical, drama, kidnapping","Michelle Williams, Christopher Plummer, Mark Wahlberg, Romain Duris, Charlie Plummer",Ridley Scott,2010,Thriller,"Kidnap, Ransom, The Taking of Pelham 123, Alpha Dog, Man on Fire, Proof of Life"
American gangster,https://www.youtube.com/watch?v=Wod4HL0EYoE,"crime, drama, biographical, historical, thriller","Denzel Washington, Russell Crowe, Chiwetel Ejiofor, Josh Brolin, Lymari Nadal",Ridley Scott,2000,Crime,"Scarface, The Godfather, Goodfellas, The Departed, Carlito's Way, Casino, Blow, The Untouchables, Heat, Serpico"
